trade_no,exit_idx,exit_time,side,gross_r,net_pnl,fees,cumulative_gross_r,cumulative_net_pnl,nav,peak_nav,drawdown,drawdown_pct
5345,323788,2025-01-29T06:20:00,short,-1.0,-54.010128,4.01,-66.32691500000095,-24800.15212200004,-1.480015212200004,1.1735233204000002,-2.6535385326000043,-2.261172391270022
5346,323832,2025-01-29T10:00:00,short,1.8,89.512953,3.981301,-64.52691500000095,-24710.63916900004,-1.471063916900004,1.1735233204000002,-2.644587237300004,-2.253544681496901
5347,323863,2025-01-29T12:35:00,short,1.8,48.555955,3.989491,-62.72691500000096,-24662.08321400004,-1.466208321400004,1.1735233204000002,-2.639731641800004,-2.249407059844572
5348,323887,2025-01-29T14:35:00,long,-1.0,-80.138024,3.984769,-63.72691500000096,-24742.22123800004,-1.4742221238000037,1.1735233204000002,-2.647745444200004,-2.256235899340721
5349,323921,2025-01-29T17:25:00,short,-1.0,-74.042865,4.014006,-64.72691500000096,-24816.264103000038,-1.481626410300004,1.1735233204000002,-2.6551497307000043,-2.2625453491584517
5350,323948,2025-01-29T19:40:00,short,-1.0,-147.203562,4.028635,-65.72691500000096,-24963.467665000037,-1.4963467665000039,1.1735233204000002,-2.669870086900004,-2.2750890761931926
5351,324086,2025-01-30T07:10:00,long,-1.0,-53.318158,3.990134,-66.72691500000096,-25016.785823000035,-1.5016785823000034,1.1735233204000002,-2.6752019027000036,-2.2796325017112995
5352,324112,2025-01-30T09:20:00,long,1.8,70.464045,4.014896,-64.92691500000096,-24946.321778000034,-1.4946321778000033,1.1735233204000002,-2.6681554982000035,-2.2736280155817883
5353,324158,2025-01-30T13:10:00,short,-1.0,-48.293163,4.008857,-65.92691500000096,-24994.614941000033,-1.4994614941000033,1.1735233204000002,-2.6729848145000035,-2.277743243814623
5354,324179,2025-01-30T14:55:00,short,-1.0,-113.318373,4.021859,-66.92691500000096,-25107.93331400003,-1.510793331400003,1.1735233204000002,-2.6843166518000032,-2.2873994961472457
5355,324222,2025-01-30T18:30:00,long,0.09041,3.049781,4.00141,-66.83650500000095,-25104.88353300003,-1.510488353300003,1.1735233204000002,-2.6840116737000033,-2.287139613710571
5356,324246,2025-01-30T20:30:00,long,-1.0,-52.85966,3.990226,-67.83650500000095,-25157.743193000028,-1.5157743193000028,1.1735233204000002,-2.689297639700003,-2.2916439690208668
5357,324300,2025-01-31T01:00:00,short,-1.0,-55.907921,4.01038,-68.83650500000095,-25213.65111400003,-1.5213651114000029,1.1735233204000002,-2.694888431800003,-2.296408077243356
5358,324327,2025-01-31T03:15:00,short,1.8,93.356466,3.980533,-67.03650500000096,-25120.29464800003,-1.512029464800003,1.1735233204000002,-2.685552785200003,-2.2884528483717066
5359,324415,2025-01-31T10:35:00,short,-0.366483,-31.765909,4.005552,-67.40298800000096,-25152.06055700003,-1.5152060557000029,1.1735233204000002,-2.688729376100003,-2.2911597318607515
5360,324466,2025-01-31T14:50:00,long,-1.0,-60.64922,3.988668,-68.40298800000096,-25212.70977700003,-1.521270977700003,1.1735233204000002,-2.6947942981000033,-2.2963278626465398
5361,324508,2025-01-31T18:20:00,long,-0.540968,-94.344618,3.981927,-68.94395600000097,-25307.05439500003,-1.5307054395000028,1.1735233204000002,-2.704228759900003,-2.304367295383832
5362,324544,2025-01-31T21:20:00,long,-1.0,-144.963163,3.971802,-69.94395600000097,-25452.01755800003,-1.545201755800003,1.1735233204000002,-2.7187250762000033,-2.316720110234635
5363,324588,2025-02-01T01:00:00,short,-1.0,-74.587314,4.014115,-70.94395600000097,-25526.60487200003,-1.552660487200003,1.1735233204000002,-2.726183807600003,-2.3230759544435573
5364,324635,2025-02-01T04:55:00,short,0.930812,51.840315,3.988834,-70.01314400000096,-25474.764557000028,-1.5474764557000027,1.1735233204000002,-2.720999776100003,-2.3186584610628267
5365,324657,2025-02-01T06:45:00,short,1.8,63.498717,3.986503,-68.21314400000097,-25411.26584000003,-1.5411265840000032,1.1735233204000002,-2.7146499044000034,-2.31324751473597
5366,324678,2025-02-01T08:30:00,short,1.8,89.99538,3.981205,-66.41314400000097,-25321.27046000003,-1.532127046000003,1.1735233204000002,-2.705650366400003,-2.3055786956817963
5367,324738,2025-02-01T13:30:00,long,0.498473,38.682177,4.008538,-65.91467100000096,-25282.58828300003,-1.528258828300003,1.1735233204000002,-2.701782148700003,-2.3022824529631754
5368,324798,2025-02-01T18:30:00,long,-0.024502,-6.120043,3.999576,-65.93917300000096,-25288.70832600003,-1.5288708326000031,1.1735233204000002,-2.7023941530000033,-2.3028039630937043
5369,324817,2025-02-01T20:05:00,short,1.8,176.773308,3.963853,-64.13917300000097,-25111.93501800003,-1.511193501800003,1.1735233204000002,-2.684716822200003,-2.2877404952505813
5370,324897,2025-02-02T02:45:00,short,1.8,87.232909,3.981757,-62.33917300000097,-25024.70210900003,-1.502470210900003,1.1735233204000002,-2.675993531300003,-2.280307075949611
5371,324931,2025-02-02T05:35:00,short,-1.0,-55.357795,4.01027,-63.33917300000097,-25080.05990400003,-1.5080059904000032,1.1735233204000002,-2.6815293108000033,-2.2850243060240105
5372,325000,2025-02-02T11:20:00,long,-0.482463,-44.264939,3.991945,-63.82163600000097,-25124.32484300003,-1.5124324843000032,1.1735233204000002,-2.6859558047000034,-2.288796275292156
5373,325061,2025-02-02T16:25:00,short,1.8,88.2536,3.981553,-62.021636000000974,-25036.07124300003,-1.5036071243000033,1.1735233204000002,-2.6771304447000035,-2.2812758793642827
5374,325124,2025-02-02T21:40:00,short,1.8,180.603437,3.963087,-60.22163600000098,-24855.46780600003,-1.4855467806000031,1.1735233204000002,-2.6590701010000033,-2.265886032919779
5375,325327,2025-02-03T14:35:00,short,-1.0,-188.188247,4.03683,-61.22163600000098,-25043.656053000028,-1.504365605300003,1.1735233204000002,-2.677888925700003,-2.2819222073807905
5376,325414,2025-02-03T21:50:00,short,-1.0,-205.798471,4.040352,-62.22163600000098,-25249.454524000026,-1.5249454524000026,1.1735233204000002,-2.6984687728000027,-2.299459010222497
5377,325469,2025-02-04T02:25:00,long,-1.0,-89.277409,3.982941,-63.22163600000098,-25338.731933000025,-1.5338731933000025,1.1735233204000002,-2.7073965137000027,-2.3070666484728872
5378,325500,2025-02-04T05:00:00,long,-1.0,-100.182917,3.98076,-64.22163600000098,-25438.914850000023,-1.5438914850000023,1.1735233204000002,-2.7174148054000025,-2.3156035829554376
5379,325565,2025-02-04T10:25:00,short,-0.511731,-52.736213,4.009745,-64.73336700000098,-25491.651063000023,-1.5491651063000025,1.1735233204000002,-2.7226884267000027,-2.3200974189178987
5380,325623,2025-02-04T15:15:00,short,1.8,239.582702,3.951293,-62.933367000000985,-25252.068361000023,-1.5252068361000024,1.1735233204000002,-2.6987301565000026,-2.2996817443560724
5381,325798,2025-02-05T05:50:00,long,1.8,105.906808,4.021986,-61.13336700000099,-25146.161553000024,-1.5146161553000024,1.1735233204000002,-2.6881394757000026,-2.2906570572314995
5382,325860,2025-02-05T11:00:00,short,-1.0,-135.240013,4.026243,-62.13336700000099,-25281.401566000022,-1.5281401566000024,1.1735233204000002,-2.7016634770000025,-2.30218132868389
5383,325896,2025-02-05T14:00:00,short,-1.0,-122.831998,4.023762,-63.13336700000099,-25404.233564000024,-1.5404233564000025,1.1735233204000002,-2.7139466768000027,-2.312648270061598
5384,325993,2025-02-05T22:05:00,long,1.324254,132.992379,4.027404,-61.809113000000984,-25271.241185000024,-1.5271241185000024,1.1735233204000002,-2.7006474389000026,-2.301315527312637
5385,326032,2025-02-06T01:20:00,short,-1.0,-201.00206,4.039393,-62.809113000000984,-25472.243245000023,-1.5472243245000024,1.1735233204000002,-2.7207476449000025,-2.3184436113060154
5386,326135,2025-02-06T09:55:00,short,-1.0,-74.205038,4.014038,-63.809113000000984,-25546.448283000023,-1.5546448283000025,1.1735233204000002,-2.7281681487000027,-2.3247668804486095
5387,326187,2025-02-06T14:15:00,long,-1.0,-100.156316,3.980765,-64.80911300000099,-25646.604599000024,-1.5646604599000025,1.1735233204000002,-2.7381837803000026,-2.3333015481675146
5388,326307,2025-02-07T00:15:00,short,-0.212381,-31.187523,4.005436,-65.02149400000098,-25677.792122000024,-1.5677792122000027,1.1735233204000002,-2.741302532600003,-2.3359591453756696
5389,326381,2025-02-07T06:25:00,short,1.8,105.406085,3.978123,-63.22149400000099,-25572.386037000026,-1.5572386037000028,1.1735233204000002,-2.730761924100003,-2.3269771265978862
5390,326468,2025-02-07T13:40:00,short,-1.0,-85.20921,4.016239,-64.22149400000099,-25657.595247000027,-1.565759524700003,1.1735233204000002,-2.739282845100003,-2.334238099474928
5391,326509,2025-02-07T17:05:00,short,1.8,262.427815,3.946725,-62.42149400000099,-25395.167432000027,-1.5395167432000028,1.1735233204000002,-2.713040063600003,-2.311875713450034
5392,326675,2025-02-08T06:55:00,long,-1.0,-58.698142,3.989058,-63.42149400000099,-25453.86557400003,-1.5453865574000032,1.1735233204000002,-2.7189098778000034,-2.316877586099654
5393,326727,2025-02-08T11:15:00,short,0.063254,1.313929,3.998937,-63.35824000000099,-25452.55164500003,-1.545255164500003,1.1735233204000002,-2.718778484900003,-2.3167656216438006
5394,326772,2025-02-08T15:00:00,long,-0.10198,-13.477067,3.998104,-63.46022000000099,-25466.02871200003,-1.5466028712000028,1.1735233204000002,-2.720126191600003,-2.3179140493542443
5395,326824,2025-02-08T19:20:00,long,1.8,132.290719,4.027264,-61.66022000000099,-25333.737993000028,-1.5333737993000027,1.1735233204000002,-2.706897119700003,-2.3066410974920775
5396,326877,2025-02-08T23:45:00,short,-0.145283,-13.91998,4.001984,-61.80550300000099,-25347.657973000027,-1.5347657973000026,1.1735233204000002,-2.708289117700003,-2.307827267358327
5397,326923,2025-02-09T03:35:00,short,-1.0,-81.998535,4.015597,-62.80550300000099,-25429.656508000025,-1.5429656508000025,1.1735233204000002,-2.7164889712000027,-2.314814647461864
5398,327031,2025-02-09T12:35:00,short,1.8,52.104443,3.988781,-61.00550300000099,-25377.552065000025,-1.5377552065000026,1.1735233204000002,-2.711278526900003,-2.3103746468164372
5399,327123,2025-02-09T20:15:00,short,0.904176,58.869304,3.987429,-60.10132700000099,-25318.682761000025,-1.5318682761000026,1.1735233204000002,-2.705391596500003,-2.305358188858027
5400,327140,2025-02-09T21:40:00,short,1.8,140.123089,3.971181,-58.301327000000995,-25178.559672000025,-1.5178559672000027,1.1735233204000002,-2.691379287600003,-2.2934178135315073
5401,327188,2025-02-10T01:40:00,short,1.8,202.382033,3.958732,-56.501327000001,-24976.177639000023,-1.4976177639000023,1.1735233204000002,-2.6711410843000025,-2.276172137243539
